id,title,year,runtime
tt0002479,"Seal Hunting in Newfoundland",1912,
tt0002483,"The Sergeant's Boy",1912,
tt0002491,"The Sin of a Woman",1912,
tt0002514,"Saved in Mid-Air",1912,
tt0002517,Talma,1912,
tt0002525,"The Tide of Death",1912,
tt0002540,"Tropisk kærlighed",1912,
tt0002544,"Trädgårdsmästaren",1912,
tt0002549,"Den tyranniske fästmannen",1913,
tt0002555,"The Last Bohemian",1913,
tt0002556,Vampyrdanserinden,1912,
tt0002559,Verkannt,1912,
tt0002572,"Wenn die Maske fällt",1912,
tt0002589,"Zona de Incursões em Chaves",1912,
tt0002590,"Zu Tode gehetzt",1912,
tt0002591,"Zu spät",1912,
tt0002594,"'Neath Austral Skies",1913,
tt0002595,"...denn alle Schuld rächt sich auf Erden",1913,
tt0002602,"The Secret of Adrianople",1913,
tt0002605,"The Adventures of Kathlyn",1913,
tt0002624,"El amigo del alma",1913,
tt0002625,"Ana Kadova",1913,92
tt0002628,"Der Andere",1913,
tt0002637,Arizona,1913,
tt0002642,"Arvingen til Skjoldborg",1914,
tt0002646,Atlantis,1913,121
tt0002648,"Old Brandis' Eyes",1913,
tt0002649,"Australia Calls",1913,
tt0002660,"Barbarous Mexico",1913,
tt0002661,"Barcelona bajo la nieve",1913,
tt0002665,"The Bartered Bride",1913,
tt0002669,"The Battle of Gettysburg",1913,
tt0002670,"The Battle of Shiloh",1913,
tt0002676,"El bello Arturo",1913,
tt0002678,"Ben Bolt",1913,
tt0002679,"Bianco contro negro",1913,
tt0002683,"The Black Snake",1913,
tt0002685,"Blodets röst",1913,
tt0002722,"Buch i Trøjen",1913,
tt0002725,"Buried Alive in a Coal Mine",1913,
tt0002727,"Bøffen og bananen",1913,
tt0002735,"Le camée",1913,
tt0002736,Caprice,1913,
tt0002739,Carmen,1914,
tt0002743,"El Caín moderno",1913,48
tt0002746,Checkers,1913,
tt0002748,"Chelsea 7750",1913,
tt0002751,"A Chopin Nocturne",1913,
tt0002763,"Corazón de presidiario",1913,
tt0002764,"Corrida de feria de las fiestas del Pilar",1913,
tt0002765,"Corrida de toros en Calatayud",1913,
tt0002767,"The Count of Monte Cristo",1913,69
tt0002771,"El crimen del otro",1913,
tt0002772,"The Criminal Path",1914,
tt0002785,"La dame de Monsoreau",1913,
tt0002790,"De muerte a vida",1913,
tt0002798,"Le dernier pardon",1913,
tt0002799,"Desastre do Monoplano Gnome na Amadora",1913,
tt0002801,"The Black Diamond",1913,50
tt0002820,"East Lynne",1913,
tt0002822,"Eighty Million Women Want - ?",1913,56
tt0002823,"Die Eisbraut",1913,
tt0002831,Esther,1913,
tt0002832,Evangeline,1914,50
tt0002833,Evinrude,1914,
tt0002837,"Fabricación del hielo",1913,
tt0002844,"Fantômas: In the Shadow of the Guillotine",1913,54
tt0002857,"Uma Ferra em Salvaterra de Magos",1913,
tt0002858,"Fiestas en Palafrugell",1913,
tt0002859,"The Fight for Millions",1913,
tt0002879,"The Fortune Hunters",1913,
tt0002880,"The Four Devils",1913,
tt0002883,"Les frères ennemis",1913,
tt0002885,"From Dusk to Dawn",1913,90
tt0002886,"La fuerza del destino",1913,
tt0002888,"Fulano de Tal se enamora de Manón",1916,
tt0002889,"The Funny Regiment",1913,
tt0002898,"Germinal; or, The Toll of Labor",1913,150
tt0002901,"The Girl of the Sunny South",1913,
tt0002909,"The Grand Military Parade",1913,
tt0002916,"Die große Sünderin",1914,
tt0002917,"Brother Against Brother",1913,51
tt0002922,Hamlet,1913,64
tt0002928,Hasard,1913,
tt0002953,"Herrerín y Ballesteros, en Alagón",1913,
tt0002958,"El hijo del mar",1913,
tt0002973,"Dr. Mawson in the Antarctic",1913,68
tt0002975,"L'homme qui assassina",1913,
tt0002977,"Za chest' russkogo znameni",1913,
tt0002978,"Hoodman Blind",1913,
tt0002981,"An Hour Before Dawn",1913,
tt0002987,"How Fine, How Fresh the Roses Were",1913,
tt0002996,"My Husband's Getting Married",1913,
tt0003002,"The Firefly",1913,
tt0003006,"In the Bishop's Carriage",1913,50
tt0003008,"In the Stretch",1913,
tt0003010,"Incendio en el barrio de Montemolín, Zaragoza",1913,
tt0003014,"Ingeborg Holm",1913,96
tt0003015,"Die Insel der Seligen",1913,49
tt0003022,Ivanhoe,1913,
tt0003024,"Jack London's Adventures in the South Sea Islands",1913,
tt0003037,"Fantômas: Juve versus Fantômas",1913,61
tt0003039,"Klyuchi schastya",1913,
tt0003042,"Kleiner Svend und seine Mutter",1913,
tt0003045,"Lady Marions sommarflirt",1913,
tt0003048,"A Lady of Quality",1913,
tt0003051,"Die Landstraße",1913,
tt0003053,"Laura y sus pretendientes",1913,
tt0003056,"Leah Kleschna",1913,
tt0003058,"The Legend of Provence",1913,
tt0003069,"Lille Klaus og store Klaus",1913,
tt0003070,"The Lipton Cup: Introducing Sir Thomas Lipton",1913,
tt0003076,"Livets konflikter",1913,
tt0003084,"The Lotus Dancer",1913,
tt0003098,"The Lure of New York",1913,
tt0003100,"La luz que vuelve",1913,
tt0003101,"Löjen och tårar",1913,
tt0003102,"Love Everlasting",1913,90
tt0003108,Macbeth,1913,50
tt0003113,"Mala raza",1913,101
tt0003116,"The Man from the Golden West",1913,
tt0003119,"Mannekängen",1913,
tt0003124,"Los marinos de papel",1913,
tt0003131,"War Is Hell",1914,50
tt0003133,"De medeminaars",1913,
tt0003139,"Mexican War Pictures",1913,
tt0003140,"Mexican War Pictures",1913,
tt0003143,"Mijntje en Trijntje",1913,
tt0003150,Miraklet,1913,
